id;alkisoid;flstkennz;lagebeztext;str;hnr;hnr_zus;plz;ort;gemeinde;gemarkung;gemanr;grundbuchblaetter;flur;zaehler;nenner;flaeche_amtl;aktualitaet;alkis_akt;behoerde_einr;behoerde_untereinr;land_acker_m2;land_acker_emz;land_acker_demz;land_streu_m2;land_streu_emz;land_streu_demz;land_kup_m2;land_kup_emz;land_kup_demz;land_summe_m2;land_summe_emz;fowi_laub_m2;fowi_gehoelz_m2;fowi_summe_m2;d_ackergruenlandzahl;d_ackergruenlandzahl_100;sonstige_summe_m2;grundsteuer_a_sonstige;bodenrichtwerte;flaeche_geom;tn_alkis
1;DENW07AL00002L5j;05105300200042______;NULL;NULL;NULL;NULL;NULL;NULL;Arnsberg;Uentrop;051053;"[""0510530000001""]";2;42;NULL;2520.0;2023-12-20 16:42:14+01;01.01.2025;Landrat des Hochsauerlandkreises;Fachdienst 43, Liegenschaftskataster und Vermessung;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;40;0.40;2520;"[{""m2"": 2520, ""emz"": null, ""katasterklassifikation"": ""Weg""}]";"[{""anl"": """", ""bko"": """", ""brw"": 0.6, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte in der Stadt Arnsberg"", ""jahr"": ""2025"", ""nuta"": ""F"", ""stag"": ""2022-01-01"", ""farbe"": ""4"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 2519.04208856651, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""forstwirtschaftliche Fläche"", ""farbe_txt"": ""Forstwirtschaft"", ""flaeche_amtl"": 2520.0}, {""anl"": """", ""bko"": """", ""brw"": 3.5, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte in der Stadt Arnsberg"", ""jahr"": ""2025"", ""nuta"": ""A"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 2519.04208856651, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Acker"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 2520.0}, {""anl"": """", ""bko"": """", ""brw"": 40, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte in der Stadt Arnsberg"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 2519.04208856651, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 2520.0}, {""anl"": """", ""bko"": """", ""brw"": 2.6, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte in der Stadt Arnsberg"", ""jahr"": ""2025"", ""nuta"": ""GR"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 2519.04208856651, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Grünland"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 2520.0}]";2519.04208856651;NULL
2;DENW43AL0000rp3A;05455305200834______;NULL;Am Schlosswald;37;NULL;52531;Übach-Palenberg;Übach-Palenberg;Übach-Palenberg;054553;"[""0545530007765""]";52;834;NULL;410.0;2024-02-15 09:16:08+01;01.01.2025;Landrat des Kreises Heinsberg;Vermessungs- und Katasteramt;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;80;0.80;410;"[{""m2"": 410, ""emz"": null, ""katasterklassifikation"": ""Wohnbaufläche""}]";"[{""anl"": """", ""bko"": """", ""brw"": 180, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Heinsberg"", ""jahr"": ""2025"", ""nuta"": ""MI"", ""stag"": ""2022-01-01"", ""farbe"": ""2"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 410.531305549742, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Mischgebiet"", ""farbe_txt"": ""Misch-/Mehrgeschossig"", ""flaeche_amtl"": 410.0}]";410.531305549742;NULL
3;DENW53AL0000Jabm;05502804100201______;NULL;NULL;NULL;NULL;NULL;NULL;Hörstel;Riesenbeck;055028;"[""0550280003141""]";41;201;NULL;4559.0;2023-10-24 14:20:04+02;01.01.2025;Landrat des Kreises Steinfurt;Vermessungs- und Katasteramt;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;1054;1054;30;0.30;4559;"[{""m2"": 1303, ""emz"": null, ""katasterklassifikation"": ""Weg""}, {""m2"": 88, ""emz"": null, ""katasterklassifikation"": ""Gewässerbegleitfläche""}, {""m2"": 2114, ""emz"": null, ""katasterklassifikation"": ""Weg""}]";"[{""anl"": """", ""bko"": """", ""brw"": 10, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""A"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 4142.24489479473, ""prozent"": 90.92430206426387836800, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Acker"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 4145.238931109790214797120}, {""anl"": """", ""bko"": """", ""brw"": 4.5, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""GR"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 4142.24489479473, ""prozent"": 90.92430206426387836800, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Grünland"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 4145.238931109790214797120}, {""anl"": """", ""bko"": """", ""brw"": 65, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 4142.24489479473, ""prozent"": 90.92430206426387836800, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 4145.238931109790214797120}, {""anl"": """", ""bko"": """", ""brw"": 1, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""F"", ""stag"": ""2022-01-01"", ""farbe"": ""4"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 4142.24489479473, ""prozent"": 90.92430206426387836800, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""forstwirtschaftliche Fläche"", ""farbe_txt"": ""Forstwirtschaft"", ""flaeche_amtl"": 4145.238931109790214797120}, {""anl"": """", ""bko"": """", ""brw"": 25, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""GE"", ""stag"": ""2022-01-01"", ""farbe"": ""3"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 227.778017347345, ""prozent"": 4.99983892283014121900, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Gewerbegebiet"", ""farbe_txt"": ""Gewerbe/Industrie/Sondergebiete"", ""flaeche_amtl"": 227.942656491826138174210}, {""anl"": """", ""bko"": """", ""brw"": 25, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""GE"", ""stag"": ""2022-01-01"", ""farbe"": ""3"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 185.68419390754, ""prozent"": 4.07585890361636019300, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Gewerbegebiet"", ""farbe_txt"": ""Gewerbe/Industrie/Sondergebiete"", ""flaeche_amtl"": 185.818407415869861198870}]";4555.70711102853;NULL
4;DENW53AL0000o1Cv;05502804600036______;NULL;NULL;NULL;NULL;NULL;NULL;Hörstel;Riesenbeck;055028;"[""0550280090000""]";46;36;NULL;681.0;2023-10-24 14:20:04+02;01.01.2025;Landrat des Kreises Steinfurt;Vermessungs- und Katasteramt;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;30;0.30;681;"[{""m2"": 13, ""emz"": null, ""katasterklassifikation"": ""Gewässerbegleitfläche""}, {""m2"": 8, ""emz"": null, ""katasterklassifikation"": ""Weg""}, {""m2"": 659, ""emz"": null, ""katasterklassifikation"": ""Graben""}]";"[{""anl"": """", ""bko"": """", ""brw"": 1, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""F"", ""stag"": ""2022-01-01"", ""farbe"": ""4"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 680.314306978289, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""forstwirtschaftliche Fläche"", ""farbe_txt"": ""Forstwirtschaft"", ""flaeche_amtl"": 681.0}, {""anl"": """", ""bko"": """", ""brw"": 4.5, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""GR"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 680.314306978289, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Grünland"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 681.0}, {""anl"": """", ""bko"": """", ""brw"": 65, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 680.314306978289, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 681.0}, {""anl"": """", ""bko"": """", ""brw"": 10, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Steinfurt"", ""jahr"": ""2025"", ""nuta"": ""A"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 680.314306978289, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Acker"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 681.0}]";680.314306978289;NULL
5;DENW06AL0004VhKJ;05114100500142______;NULL;NULL;NULL;NULL;NULL;NULL;Witten;Stockum;051141;"[""0511410003006"",""0511410003007"",""0511410003008"",""0511410003009"",""0511410003010"",""0511410003011"",""0511410003012"",""0511410003013"",""0511410003014"",""0511410003015"",""0511410003016"",""0511410003017"",""0511410003018"",""0511410003019"",""0511410003020"",""0511410003021""]";5;142;NULL;64.0;2024-12-05 17:00:00+01;01.01.2025;Landrat des Ennepe-Ruhr-Kreises;Abteilung Liegenschaftskataster und Geoinformationen;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;68;0.68;64;"[{""m2"": 64, ""emz"": null, ""katasterklassifikation"": ""Weg""}]";"[{""anl"": """", ""bko"": """", ""brw"": 235, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Ennepe-Ruhr-Kreis mit der Stadt Witten"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""2"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 68.7480660020576, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Misch-/Mehrgeschossig"", ""flaeche_amtl"": 64.0}, {""anl"": """", ""bko"": """", ""brw"": 280, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Ennepe-Ruhr-Kreis mit der Stadt Witten"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""1"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 68.7480660020576, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Ein-/Zweigeschossig"", ""flaeche_amtl"": 64.0}]";68.7480660020576;NULL
6;DENW54AL0000kocd;05508703700077______;NULL;NULL;NULL;NULL;NULL;NULL;Drensteinfurt;Drensteinfurt;055087;"[""0550870004325""]";37;77;NULL;34590.0;2023-11-17 09:51:39+01;01.01.2025;Landrat des Kreises Warendorf;Amt für Geoinformation und Kataster;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45;0.45;34590;"[{""m2"": 94, ""emz"": null, ""katasterklassifikation"": ""Gewässerbegleitfläche""}, {""m2"": 34497, ""emz"": 7716, ""katasterklassifikation"": ""Bahnverkehr""}]";"[{""anl"": """", ""bko"": """", ""brw"": 0.6, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""F"", ""stag"": ""2022-01-01"", ""farbe"": ""4"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 34478.9221180361, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""forstwirtschaftliche Fläche"", ""farbe_txt"": ""Forstwirtschaft"", ""flaeche_amtl"": 34590.0}, {""anl"": """", ""bko"": """", ""brw"": 10.5, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""A"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 34478.9221180361, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Acker"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 34590.0}, {""anl"": """", ""bko"": """", ""brw"": 8.4, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""GR"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 34478.9221180361, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Grünland"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 34590.0}, {""anl"": """", ""bko"": """", ""brw"": 110, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 34478.9221180361, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 34590.0}, {""anl"": """", ""bko"": """", ""brw"": 22, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""G"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 34478.9221180361, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""gewerbliche Baufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 34590.0}]";34478.9221180361;NULL
7;DENW54AL0000wBGb;05508707000262______;NULL;NULL;NULL;NULL;NULL;NULL;Drensteinfurt;Drensteinfurt;055087;"[""0550870001170""]";70;262;NULL;2441.0;2023-11-17 09:51:39+01;01.01.2025;Landrat des Kreises Warendorf;Amt für Geoinformation und Kataster;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45;0.45;2441;"[{""m2"": 2441, ""emz"": null, ""katasterklassifikation"": ""Straßenverkehr""}]";"[{""anl"": """", ""bko"": """", ""brw"": 285, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Warendorf"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""1"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 2439.63987205995, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Ein-/Zweigeschossig"", ""flaeche_amtl"": 2441.0}]";2439.63987205995;NULL
8;DENW52AL00bCkuur;05516002400068______;NULL;Arminiusstraße;31;NULL;45721;Haltern am See;Haltern am See;Haltern-Stadt;055160;"[""0551600000003""]";24;68;NULL;507.0;2023-11-01 01:00:00+01;01.01.2025;Landrat des Kreises Recklinghausen;Fachbereich 62 - Kataster und Geoinformation;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;34;0.34;507;"[{""m2"": 507, ""emz"": null, ""katasterklassifikation"": ""Wohnbaufläche""}]";"[{""anl"": """", ""bko"": """", ""brw"": 370, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Kreis Recklinghausen, in der Stadt Castrop-Rauxel und in der Stadt Herten"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""1"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 506.82217799864, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Ein-/Zweigeschossig"", ""flaeche_amtl"": 507.0}]";506.82217799864;NULL
9;DENW07AL0000CQ8T;05152300300030______;NULL;NULL;NULL;NULL;NULL;NULL;Meschede;Wennemen;051523;"[""0515150000278""]";3;30;NULL;19651.0;2023-12-20 16:42:14+01;01.01.2025;Landrat des Hochsauerlandkreises;Fachdienst 43, Liegenschaftskataster und Vermessung;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;45;0.45;19651;"[{""m2"": 12254, ""emz"": null, ""katasterklassifikation"": ""Verkehrsbegleitfläche Straße""}, {""m2"": 7397, ""emz"": null, ""katasterklassifikation"": ""Straßenverkehr""}]";"[{""anl"": """", ""bko"": """", ""brw"": 2.9, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Hochsauerlandkreis"", ""jahr"": ""2025"", ""nuta"": ""A"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 19458.0242129522, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Acker"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 19651.0}, {""anl"": """", ""bko"": """", ""brw"": 0.8, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Hochsauerlandkreis"", ""jahr"": ""2025"", ""nuta"": ""F"", ""stag"": ""2022-01-01"", ""farbe"": ""4"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 19458.0242129522, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""forstwirtschaftliche Fläche"", ""farbe_txt"": ""Forstwirtschaft"", ""flaeche_amtl"": 19651.0}, {""anl"": """", ""bko"": """", ""brw"": 2.4, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""LF"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Hochsauerlandkreis"", ""jahr"": ""2025"", ""nuta"": ""GR"", ""stag"": ""2022-01-01"", ""farbe"": ""5"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 19458.0242129522, ""prozent"": 100.00, ""entw_txt"": ""Fläche der Land- und Forstwirtschaft"", ""nuta_txt"": ""Grünland"", ""farbe_txt"": ""Landwirtschaft"", ""flaeche_amtl"": 19651.0}, {""anl"": """", ""bko"": """", ""brw"": 18, ""dat"": ""0001-01-01 BC"", ""gsm"": false, ""kor"": false, ""soa"": false, ""wrt"": false, ""zgr"": false, ""entw"": ""B"", ""gabe"": ""Der Gutachterausschuss für Grundstückswerte im Hochsauerlandkreis"", ""jahr"": ""2025"", ""nuta"": ""W"", ""stag"": ""2022-01-01"", ""farbe"": ""6"", ""anl_txt"": ""UNDEFINED"", ""flaeche"": 19458.0242129522, ""prozent"": 100.00, ""entw_txt"": ""Baureifes Land"", ""nuta_txt"": ""Wohnbaufläche"", ""farbe_txt"": ""Außenbereich"", ""flaeche_amtl"": 19651.0}]";19458.0242129522;NULL
